"Item Name","Item Category","Item Description","Unit of Measurement","Unit Price","Item Image","Quantity","Item Image Link"
"Tacos with vegetables","Main course","Tacos with vegetable such as grilled bell peppers, onions, zucchini, mushrooms, corn, and beans.","pack","50.00",,"22","https://www.foodiesfeed.com/wp-content/uploads/ff-images/2025/07/colorful-vegan-tacos-with-fresh-vegetables.webp"
"Meatballs with herbs","Main course","These meatballs incorporate fresh herbs like oregano, basil, and thyme, along with parmesan cheese.","pack","25.00",,"37","https://www.foodiesfeed.com/wp-content/uploads/ff-images/2025/06/savory-meatballs-with-fresh-herbs.webp"
"Falafel with vegetables","Main course","Deliciously made from chickpeas and served with fresh vegetables and tahini sauce","pack","76.00",,"17","https://www.foodiesfeed.com/wp-content/uploads/ff-images/2025/06/mediterranean-falafel-bowl-with-fresh-vegetables.webp"
"Grilled meat with vegetables","Main course","Juicy beef or turkey burgers topped with grilled vegetables, peppers, onions and cheese.","pack","83.00",,"19","https://www.foodiesfeed.com/wp-content/uploads/ff-images/2025/06/grilled-meat-wrap-with-fresh-vegetables.webp"
"Bacon cheeseburger with bun","Main course","A beef patty cooked to perfection, with a nice sear on the outside and a tender interior","pack","40.00",,"30","https://www.foodiesfeed.com/wp-content/uploads/ff-images/2025/06/juicy-bacon-cheeseburger-with-sesame-bun.webp"
"Caramel flan topped with sea salt","Main course","A rich and creamy custard base, typically made with eggs, sugar, and milk or cream","gram","20.00",,"47","https://www.foodiesfeed.com/wp-content/uploads/ff-images/2025/06/caramel-flan-topped-with-sea-salt.webp"
"Deviled cucumbers","Appetizer","A refreshing crunch from cucumbers and a creamy filling with a hint of tang.","gram","13.00",,"30","https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/01/30/FNM020124_Air-Fryer-Crispy-Onion-Petals_s4x3.jpg.rend.hgtvcom.791.594.85.suffix/1706641464081.webp"
"Clam dip","Appetizer","Classic and simple, made from cream cheese, canned clams, scallions, Worcestershire sauce and hot sauce. ","gram","29.00",,"3","https://food.fnr.sndimg.com/content/dam/images/food/fullset/2022/10/24/FNK_CLAM_DIP_H_f.jpg.rend.hgtvcom.791.633.85.suffix/1666710963839.webp"
"Deviled chickpea","Appetizer","Chickpeas replace egg yolks for a filling that’s reminiscent of deviled eggs and so super-creamy.","pack","23.00",,"3","https://food.fnr.sndimg.com/content/dam/images/food/fullset/2014/5/19/0/TM1F34_Warm-Brie-with-Fuji-Apple-Pear-and-Melba-Toasts_s4x3.jpg.rend.hgtvcom.791.594.85.suffix/1400740915434.webp"
"Kataifi-wrapped feta","Appetizer","The strands of shredded phyllo-like pastry known as kataifi work beautifully in this savory dish.","pack","14.85",,"12","https://food.fnr.sndimg.com/content/dam/images/food/fullset/2025/02/26/FN_Kataifi-Crusted-Feta-4x3.jpg.rend.hgtvcom.791.594.85.suffix/1740600981430.webp"
"Double Crusted Sweet Potato Pie","Dessert","This sweet potato pie features a double crust, warm spices, and a creamy buttermilk layer that looks as good as it tastes.","pack","15.00",,"20","https://parallelplates.com/wp-content/uploads/2024/11/Double-Crusted-Sweet-Potato-Pie.jpg"
"White chocolate dipped cookies","Dessert","White chocolate dipped cookies combine crisp textures with a smooth finish, making them elegant.","Piece","5.00",,"35","https://parallelplates.com/wp-content/uploads/2024/10/White-Chocolate-Dipped-Cookies.jpeg"
"Tiramisu Cheesecake","Dessert","No-bake tiramisu cheesecake layers creamy fillings, coffee-soaked ladyfingers, and chocolate for an impressive dessert.","gram","34.00",,"19","https://parallelplates.com/wp-content/uploads/2024/11/Tiramisu-Cheesecake.jpg"
"Mixed Berry Galette","Dessert","Perfect for any occasion, it pairs beautifully with ice cream, creating a dessert worthy of admiration.","gram","19.00",,"35","https://parallelplates.com/wp-content/uploads/2024/06/Berry-Galette-2.jpg"
"Lemon Ginger Tea","Beverage","With a zesty kick of lemon and a spicy touch of ginger, this comforting concoction is perfect for cozy evenings.","can","8.00",,"16","https://i.pinimg.com/1200x/cc/57/2d/cc572dc7c6221b952552159e9df8342a.jpg"
"Avocado shake","Beverage","A creamy and nutritious beverage made with ripe avocados blended with milk, and ice.","can","12.00",,"25","https://i.pinimg.com/736x/46/d8/15/46d815be729c637ceaf9be14d1f80a04.jpg"
"Sake Sangria","Beverage","This cocktail blends the delicate taste of Japanese sake with vibrant fresh fruits and a hint of sweetness. ","can","11.00",,"11","https://i.pinimg.com/1200x/b4/ea/3d/b4ea3d04fdeb3f6e95caaf7459a8ac63.jpg"
"Iced tea with peach","Beverage","Filled with ice, fresh peach slices, and topped with a vibrant mint leaf.","can","6.00",,"26","https://i.pinimg.com/736x/3f/53/08/3f53084c64f6653b2c8fc93759a7fd3d.jpg"
